runtime,result
1.8900000213761814e-06,3742837300
1.3070000477455324e-06,3819829070
6.420000318030361e-07,3523107866
5.6999999742402e-07,4105325583
4.7100002120714635e-07,2271828278
5.440000450107618e-07,2360678335
4.859999762629741e-07,3933793458
4.749999789055437e-07,3296219542
4.940000053466065e-07,4232676848
4.590000344251166e-07,3433991454
4.610000132743153e-07,3849162578
4.569999418890802e-07,3144136218
4.660000740841497e-07,4036988440
4.639999815481133e-07,3156903127
4.500000159168849e-07,3527379886
4.70000031782547e-07,3384928885
4.349999471742194e-07,4078635250
4.669999498219113e-07,2566855264
4.3600005028565647e-07,2847850844
4.580000450005173e-07,3325131733
4.660000740841497e-07,2378526919
4.400000079840538e-07,3849861806
4.480000370676862e-07,3291937946
5.180000925975037e-07,4119037943
4.560000661513186e-07,2412656619
4.969999736204045e-07,2472578480
4.559999524644809e-07,3026449023
4.4099999740865314e-07,2957755901
4.419999868332525e-07,2245883100
4.480000370676862e-07,3198086639
4.620000026989146e-07,2877454078
4.6599996039731195e-07,3138214857
4.5400008730211994e-07,2931465135
4.839999974137754e-07,3374102897
4.5799993131367955e-07,2227690335
4.78999936603941e-07,3671035948
4.5499996303988155e-07,2745045850
4.390000185594545e-07,3463950085
4.4900002649228554e-07,3321383501
4.480000370676862e-07,2285720003
4.4099999740865314e-07,3199130852
4.480000370676862e-07,2270043256
4.5200010845292127e-07,2501831152
4.610000132743153e-07,2234065012
4.349999471742194e-07,3009303421
4.67000063508749e-07,3712030142
4.3200009258725913e-07,3038378079
4.5199999476608355e-07,3790009497
4.620000026989146e-07,3875949474
4.5200010845292127e-07,2818805214
4.510000053414842e-07,4046665677
4.560000661513186e-07,4182502358
4.390000185594545e-07,3138605806
4.559999524644809e-07,3128234842
4.620000026989146e-07,2285576543
4.4099999740865314e-07,2299542640
4.649999709727126e-07,4215776773
4.4600005821848754e-07,3868541876
4.429999762578518e-07,3676362739
4.679999392465106e-07,2701877246
4.580000450005173e-07,2623818343
4.529999841906829e-07,4234541253
4.4400007936928887e-07,2301499224
4.419999868332525e-07,2974287202
4.449999551070505e-07,3078930441
4.339999577496201e-07,2716922639
4.5700005557591794e-07,4001530443
4.3600005028565647e-07,2832410098
4.290000106266234e-07,3071155761
4.400000079840538e-07,3255876098
4.419999868332525e-07,2421444817
4.500000159168849e-07,3583711737
4.830000079891761e-07,3159590456
4.620000026989146e-07,3661388671
4.4900002649228554e-07,2987742914
4.899999339613714e-07,3910660298
4.510000053414842e-07,2227772044
4.510000053414842e-07,3607325815
4.720000106317457e-07,2262860932
4.699999180957093e-07,3294632816
4.339999577496201e-07,3678123772
4.749999789055437e-07,3601499897
4.610000132743153e-07,3744750026
4.370000397102558e-07,4082459692
4.669999498219113e-07,2944896097
4.400000079840538e-07,3439975382
4.4099999740865314e-07,3485263458
4.610000132743153e-07,3844591397
4.510000053414842e-07,3089337123
4.699999180957093e-07,3114566328
4.870000793744111e-07,3382116566
4.500000159168849e-07,3596221011
4.649999709727126e-07,4240290588
4.999999418942025e-07,3521295042
4.560000661513186e-07,3364229546
4.769999577547424e-07,3758941066
4.6599996039731195e-07,3170356401
4.589999207382789e-07,3017870819
4.869999656875734e-07,3869560545
4.559999524644809e-07,3969582061
4.529999841906829e-07,3617254147
4.920000264974078e-07,3214446401
4.780000608661794e-07,2932823948
4.400000079840538e-07,2586728880
4.449999551070505e-07,3119227898
4.620000026989146e-07,2280536696
4.3299996832502075e-07,2548040144
4.580000450005173e-07,2158513427
4.6299999212351395e-07,3768338253
4.610000132743153e-07,3826563842
4.920000264974078e-07,3038457957
4.610000132743153e-07,4052909704
4.480000370676862e-07,3131999394
4.6099989958747756e-07,4022033745
4.529999841906829e-07,2628340331
4.480000370676862e-07,4064383661
4.590000344251166e-07,3451124263
4.3899990487261675e-07,3639534448
4.6299999212351395e-07,2830065601
4.3299996832502075e-07,4290863178
4.799999260285404e-07,2796377734
4.850001005252125e-07,3420321190
4.290000106266234e-07,2352825313
4.780000608661794e-07,3224078885
4.3300008201185847e-07,2154788778
4.4600005821848754e-07,2161606955
4.779999471793417e-07,2760182017
4.590000344251166e-07,2623321247
4.400000079840538e-07,3807920727
4.669999498219113e-07,2585685595
4.309999894758221e-07,3703106567
4.67000063508749e-07,3232303357
4.6899992867110996e-07,4106508180
4.4399996568245115e-07,2245446222
4.319999789004214e-07,3778375341
4.639999815481133e-07,3295244688
4.419999868332525e-07,2667354658
4.669999498219113e-07,2792147180
4.820000185645767e-07,3023814226
4.370000397102558e-07,2782192039
4.4600005821848754e-07,3288261063
4.790000502907787e-07,3544117035
4.5799993131367955e-07,3058244866
4.4699993395624915e-07,2274588670
4.649999709727126e-07,2453755610
4.500000159168849e-07,2229825057
4.849999868383748e-07,3708686714
4.379999154480174e-07,2923119930
4.5400008730211994e-07,3056396873
4.419999868332525e-07,3827930194
4.459999445316498e-07,3558731533
4.559999524644809e-07,3442009212
4.449999551070505e-07,3877087551
4.800000397153781e-07,3508235468
4.559999524644809e-07,3564237833
4.81999904877739e-07,2849552439
4.649999709727126e-07,3123999108
4.510000053414842e-07,3658200460
4.669999498219113e-07,4214790838
4.480000370676862e-07,3048057640
4.7100002120714635e-07,3988378500
4.610000132743153e-07,3424264758
4.6599996039731195e-07,2659645425
4.319999789004214e-07,2593611966
4.709999075203086e-07,3486891270
4.6599996039731195e-07,2970717244
4.259999286659877e-07,2518339430
4.429999762578518e-07,3993529475
4.5700005557591794e-07,2711334798
4.309999894758221e-07,2936124789
4.569999418890802e-07,4226930841
4.850001005252125e-07,4044543119
4.989999524696032e-07,2342819330
4.510000053414842e-07,2775564830
4.699999180957093e-07,3084134819
4.429999762578518e-07,4274739317
4.419999868332525e-07,2223981121
4.459999445316498e-07,3786088563
4.3200009258725913e-07,3332782782
4.5199999476608355e-07,4114415125
4.830000079891761e-07,3940981454
4.539999736152822e-07,3583502832
4.4900002649228554e-07,3907909632
4.679999392465106e-07,3034774696
4.510000053414842e-07,3009490978
4.539999736152822e-07,3560834783
4.989999524696032e-07,3271504874
